,precision,recall,f1-score,support
A,0.8175548589341692,0.6943556975505857,0.7509357903829541,1878.0
B,0.7108540925266904,0.8215938303341902,0.7622227522060577,1945.0
C,0.5292411793136781,0.7793594306049823,0.6303972366148533,1405.0
D,0.5571858540255832,0.7513952308472857,0.6398790235472024,1971.0
E,0.8296327924850555,0.9354838709677419,0.8793844761258203,2077.0
F,0.9299814408638434,0.9039029189898328,0.9167567567567568,6098.0
G,0.9301716350496838,0.8083052044901483,0.864967029274644,12739.0
H,0.8482010842779695,0.624455732946299,0.7193312434691744,2756.0
I,0.43272727272727274,0.7104477611940299,0.5378531073446329,670.0
J,0.7631662942866262,0.9084346504559271,0.8294882914137034,2632.0
accuracy,0.8140821164145036,0.8140821164145036,0.8140821164145036,0.8140821164145036
macro avg,0.7348716504490571,0.7937734328381023,0.7531215707135799,34171.0
weighted avg,0.8381267786456287,0.8140821164145036,0.8194498626819208,34171.0
